article_id,value
019d0000-0002-7000-8000-000000000001,ai
019d0000-0002-7000-8000-000000000003,ai
019d0000-0002-7000-8000-000000000004,php
019d0000-0002-7000-8000-000000000005,ai
019d0000-0002-7000-8000-000000000006,php
019d0000-0002-7000-8000-000000000009,php
019d0000-0002-7000-8000-000000000010,laravel
019d0000-0002-7000-8000-000000000011,laravel
019d0000-0002-7000-8000-000000000011,php
019d0000-0002-7000-8000-000000000012,laravel
019d0000-0002-7000-8000-000000000013,php
019d0000-0002-7000-8000-000000000014,laravel
019d0000-0002-7000-8000-000000000015,laravel
019d0000-0002-7000-8000-000000000016,laravel
019d0000-0002-7000-8000-000000000016,php
019d0000-0002-7000-8000-000000000017,laravel
019d0000-0002-7000-8000-000000000019,ai
019d0000-0002-7000-8000-000000000022,ai
019d0000-0002-7000-8000-000000000023,ddd
019d0000-0002-7000-8000-000000000028,ai
019d0000-0002-7000-8000-000000000028,github
019d0000-0002-7000-8000-000000000031,ai
019d0000-0002-7000-8000-000000000031,github
019d0000-0002-7000-8000-000000000001,productivity
019d0000-0002-7000-8000-000000000005,productivity
019d0000-0002-7000-8000-000000000005,testing
019d0000-0002-7000-8000-000000000016,ddd
